157 ,470000 ,473000 ,24990 
158 ,473000 ,476000 ,25480 
159 ,476000 ,479000 ,25970 
160 ,479000 ,482000 ,26460 
161 ,482000 ,485000 ,26950 
162 ,485000 ,488000 ,27440 
163 ,488000 ,491000 ,27930 
164 ,491000 ,494000 ,28420 
165 ,494000 ,497000 ,28910 
166 ,497000 ,500000 ,29400 
167 ,500000 ,503000 ,29890 
168 ,503000 ,506000 ,30380 
169 ,506000 ,509000 ,30880 
170 ,509000 ,512000 ,31370 
171 ,512000 ,515000 ,31860 
172 ,515000 ,518000 ,32350 
173 ,518000 ,521000 ,32840 
174 ,521000 ,524000 ,33330 
175 ,524000 ,527000 ,33820 
176 ,527000 ,530000 ,34310 
177 ,530000 ,533000 ,34800 
178 ,533000 ,536000 ,35290 
179 ,536000 ,539000 ,35780 
180 ,539000 ,542000 ,36270 
181 ,542000 ,545000 ,36760 
182 ,545000 ,548000 ,37250 
183 ,548000 ,551000 ,37740 
184 ,551000 ,554000 ,38280 
185 ,554000 ,557000 ,38830 
186 ,557000 ,560000 ,39380 
187 ,560000 ,563000 ,39930 
188 ,563000 ,566000 ,40480 
189 ,566000 ,569000 ,41030 
190 ,569000 ,572000 ,41590 
191 ,572000 ,575000 ,42140 
192 ,575000 ,578000 ,42690 
193 ,578000 ,581000 ,43240 
194 ,581000 ,584000 ,43790 
195 ,584000 ,587000 ,44340 
196 ,587000 ,590000 ,44890 
197 ,590000 ,593000 ,45440 
198 ,593000 ,596000 ,46000 
199 ,596000 ,599000 ,46550 
200 ,599000 ,602000 ,47100 
201 ,602000 ,605000 ,47650 
202 ,605000 ,608000 ,48200 
203 ,608000 ,611000 ,48750 
204 ,611000 ,614000 ,49300 
205 ,614000 ,617000 ,49860 
206 ,617000 ,620000 ,50410 
207 ,620000 ,623000 ,50960 
208 ,623000 ,626000 ,51510 
209 ,626000 ,629000 ,52060 
210 ,629000 ,632000 ,52610 
211 ,632000 ,635000 ,53160 
212 ,635000 ,638000 ,53710 
213 ,638000 ,641000 ,54270 
